寫入日期,寫入時間,時制,中正圖書館,達賢圖書館,中正悅讀區_A,中正悅讀區_B,中正悅讀區_C
2024/11/5,10:00:07,PM,3325,1360,36,61,60
2024/11/5,11:00:07,PM,3357,1360,67,77,96
2024/11/6,12:00:07,AM,3377,1360,82,87,116
2024/11/6,1:00:07,AM,0,0,101,91,126
2024/11/6,2:00:07,AM,0,0,109,93,136
2024/11/6,3:00:07,AM,0,0,119,93,139
2024/11/6,4:00:07,AM,0,0,123,93,146
2024/11/6,5:00:06,AM,1,0,125,95,148
2024/11/6,6:00:07,AM,1,0,129,95,148
2024/11/6,7:00:07,AM,1,0,130,95,148
2024/11/6,8:00:07,AM,4,0,122,92,149
2024/11/6,9:00:06,AM,96,44,130,94,149
2024/11/6,10:00:06,AM,202,124,131,92,147
2024/11/6,11:00:07,AM,443,225,104,91,132
2024/11/6,12:00:06,PM,668,300,95,86,132
2024/11/6,1:00:06,PM,1022,454,86,84,120
2024/11/6,3:00:07,PM,1555,751,61,76,93
2024/11/6,4:00:07,PM,1872,849,66,73,74
2024/11/6,5:00:07,PM,2203,980,56,70,66
2024/11/6,6:00:07,PM,2404,1105,69,74,75
2024/11/6,7:00:07,PM,2590,1205,67,74,79
2024/11/6,8:00:07,PM,2803,1287,58,75,72
2024/11/6,9:00:07,PM,2918,1322,47,70,75
2024/11/6,10:00:08,PM,3009,1330,47,56,93
2024/11/6,11:00:07,PM,3045,1330,90,71,106
2024/11/7,12:00:08,AM,3059,1330,94,81,123
2024/11/7,1:00:07,AM,0,0,107,86,131
2024/11/7,2:00:07,AM,0,0,121,90,140
2024/11/7,3:00:07,AM,0,0,131,92,145
2024/11/7,4:00:08,AM,0,0,135,92,150
2024/11/7,5:00:07,AM,1,0,134,92,151
